iter	Passed	Remaining
207	336	1279
208	336	1274
209	337	1269
210	338	1264
211	338	1259
212	339	1255
213	340	1250
214	341	1245
215	341	1240
216	342	1236
217	343	1231
218	344	1226
219	344	1222
220	345	1217
221	346	1213
222	346	1208
223	347	1204
224	348	1199
225	349	1195
226	349	1190
227	350	1186
228	351	1182
229	351	1177
230	352	1173
231	353	1169
232	353	1165
233	354	1161
234	355	1157
235	356	1152
236	356	1148
237	357	1144
238	358	1140
239	359	1137
240	359	1133
241	360	1129
242	361	1125
243	361	1121
244	362	1117
245	363	1113
246	364	1110
247	364	1106
248	365	1102
249	366	1098
250	366	1094
251	367	1091
252	368	1087
253	368	1083
254	369	1080
255	370	1076
256	371	1073
257	371	1069
258	372	1066
259	373	1062
260	374	1059
261	374	1056
262	375	1052
263	376	1049
264	377	1045
265	377	1042
266	378	1039
267	379	1035
268	379	1032
269	380	1028
270	381	1025
271	381	1022
272	382	1019
273	383	1015
274	384	1012
275	384	1009
276	385	1006
277	386	1003
278	387	1000
279	387	997
280	388	994
281	389	991
282	390	988
283	390	985
284	391	982
285	392	979
286	392	975
287	393	972
288	394	969
289	395	967
290	395	964
291	396	961
292	397	958
293	397	955
294	398	952
295	399	949
296	400	947
297	400	944
298	401	941
299	402	938
300	403	936
301	403	933
302	404	930
303	405	927
304	405	924
305	406	922
306	407	919
307	408	916
308	408	913
309	409	911
310	410	908
311	410	906
312	411	903
313	412	900
314	412	898
315	413	895
316	414	892
317	415	890
318	415	887
319	416	885
320	417	882
321	418	880
322	418	877
323	419	875
324	420	872
325	420	870
326	421	867
327	422	865
328	423	862
329	423	860
330	424	857
331	425	855
332	425	853
333	426	850
334	427	848
335	428	845
336	428	843
337	429	841
338	430	839
339	431	837
340	432	836
341	433	834
342	434	832
343	435	830
344	436	828
345	437	826
346	438	824
347	438	822
348	439	820
349	440	817
350	441	815
351	441	813
352	442	810
353	443	808
354	444	806
355	444	804
356	445	802
357	446	800
358	447	798
359	447	796
360	448	794
361	449	791
362	450	789
363	450	787
364	451	785
365	452	783
366	452	781
367	453	779
368	454	777
369	455	774
370	455	772
371	456	770
372	457	768
373	458	766
374	458	764
375	459	762
376	460	760
377	460	758
378	461	756
379	462	754
380	462	752
381	463	750
382	464	748
383	465	746
384	465	744
385	466	742
386	467	740
387	468	738
388	468	736
389	469	734
390	470	732
391	470	730
392	471	728
393	472	726
394	473	724
395	473	722
396	474	720
397	475	718
398	476	717
399	476	715
400	477	713
401	478	711
402	478	709
403	479	707
404	480	705
405	481	703
406	481	702
407	482	700
408	483	698
409	483	696
410	484	694
411	485	692
412	487	693
413	488	691
414	489	690
415	490	688
416	492	688
417	493	687
418	495	686
419	496	685
420	497	684
421	498	683
422	500	683
423	502	682
424	503	681
425	505	681
426	507	680
427	508	680
428	510	679
429	512	679
430	514	679
431	515	678
432	517	677
433	518	676
434	519	675
435	521	674
436	522	673
437	523	671
438	525	670
439	526	670
440	528	669
441	529	668
442	531	668
443	533	668
444	535	668
445	537	667
446	539	666
447	540	666
448	542	665
449	545	666
450	546	665
451	548	664
452	551	665
453	552	664
454	554	664
455	556	663
456	559	664
457	560	663
458	561	662
459	563	661
460	564	659
461	565	658
462	566	657
463	567	656
464	568	654
465	570	653
466	572	653
467	573	652
468	575	651
469	576	649
470	577	648
471	577	646
472	578	644
473	580	644
474	581	643
475	583	642
476	584	640
477	585	638
478	586	638
479	587	636
480	588	634
481	589	633
482	590	632
483	591	630
484	592	629
485	593	627
486	594	625
487	594	624
488	595	622
489	596	620
490	597	619
491	598	617
492	599	616
493	600	615
494	601	613
495	602	612
496	603	610
497	604	609
498	605	608
499	606	606
500	607	605
501	608	603
502	609	601
503	610	600
504	611	599
505	612	598
506	615	598
507	616	597
508	617	595
509	618	594
510	619	592
511	620	591
512	621	589
513	622	588
514	623	586
515	624	585
516	624	583
517	625	582
518	626	580
519	627	579
520	628	577
521	629	576
522	630	575
523	631	573
524	632	572
525	633	570
526	634	569
527	635	567
528	636	566
529	637	565
530	638	563
531	639	562
532	640	561
533	641	560
534	644	559
535	645	558
536	648	558
537	649	557
538	651	557
539	652	555
540	653	554
541	654	552
542	655	551
543	656	549
544	657	548
545	657	547
546	658	545
547	659	544
548	660	542
549	661	541
550	662	539
551	662	538
552	663	536
553	664	535
554	665	533
555	666	532
556	667	530
557	668	529
558	669	527
559	669	526
560	670	524
561	671	523
562	672	521
563	673	520
564	674	518
565	674	517
566	675	516
567	677	514
568	678	513
569	679	512
570	680	511
571	680	509
572	681	508
573	682	506
574	683	505
575	684	503
576	684	502
577	685	500
578	686	499
579	687	497
580	687	495
581	688	494
582	689	492
583	689	491
584	690	489
585	691	488
586	692	486
587	692	485
588	693	483
589	694	482
590	695	481
591	695	479
592	696	478
593	697	476
594	698	475
595	698	473
596	699	472
597	700	470
598	701	469
599	701	467
600	702	466
601	703	464
602	703	463
603	704	461
604	705	460
605	706	459
606	706	457
607	707	456
608	708	454
609	709	453
610	709	451
611	710	450
612	711	448
613	711	447
614	712	446
615	713	444
616	714	443
617	714	441
618	715	440
619	716	438
620	716	437
621	717	436
622	718	434
623	719	433
624	719	431
625	720	430
626	721	428
627	721	427
628	722	426
629	723	424
630	723	423
631	724	421
632	725	420
633	726	419
634	726	417
635	727	416
636	728	415
637	729	413
638	729	412
639	730	410
640	731	409
641	731	408
642	732	406
643	733	405
644	734	404
645	734	402
646	735	401
647	736	399
648	737	398
649	738	397
650	780	418
651	781	417
652	782	415
653	783	414
654	784	413
655	785	412
656	787	410
657	792	412
658	794	410
659	795	409
660	795	408
661	796	406
662	799	406
663	800	404
664	801	403
665	802	402
666	804	401
667	805	400
668	806	399
669	807	397
670	808	396
671	809	394
672	809	393
673	810	392
674	811	390
675	812	389
676	813	388
677	814	386
678	815	385
679	816	384
680	816	382
681	817	381
682	818	379
683	819	378
684	819	377
685	820	375
686	821	374
687	822	372
688	822	371
689	823	370
690	824	368
691	825	367
692	825	365
693	826	364
694	827	363
695	827	361
696	828	360
697	829	358
698	830	357
699	830	356
700	831	354
701	832	353
702	833	351
703	834	350
704	835	349
705	835	347
706	836	346
707	837	345
708	838	343
709	839	342
710	839	341
711	840	339
712	841	338
713	841	337
714	842	335
715	843	334
716	844	333
717	844	331
718	845	330
719	846	329
720	847	327
721	847	326
722	848	325
723	849	323
724	850	322
725	850	321
726	851	319
727	852	318
728	852	317
729	853	315
730	854	314
731	855	313
732	855	311
733	856	310
734	857	309
735	858	307
736	858	306
737	859	305
738	860	303
739	861	302
740	861	301
741	862	299
742	863	298
743	863	297
744	864	295
745	865	294
746	866	293
747	866	292
748	867	290
749	868	289
750	868	288
751	869	286
752	870	285
753	871	284
754	871	282
755	872	281
756	873	280
757	873	278
758	874	277
759	875	276
760	876	275
761	876	273
762	877	272
763	878	271
764	879	270
765	879	268
766	880	267
767	881	266
768	881	264
769	882	263
770	883	262
771	883	261
772	884	259
773	885	258
774	886	257
775	886	255
776	887	254
777	888	253
778	888	252
779	889	250
780	890	249
781	891	248
782	891	247
783	892	245
784	893	244
785	894	243
786	894	242
787	895	240
788	896	239
789	896	238
790	897	237
791	898	235
792	899	234
793	899	233
794	900	232
795	901	230
796	902	229
797	902	228
798	903	227
799	904	226
800	904	224
801	905	223
802	906	222
803	906	221
804	907	219
805	908	218
806	909	217
807	909	216
808	910	214
809	911	213
810	912	212
811	912	211
812	913	210
813	914	208
814	914	207
815	915	206
816	916	205
817	917	204
818	918	202
819	918	201
820	919	200
821	920	199
822	920	198
823	921	196
824	922	195
825	923	194
826	923	193
827	924	192
828	925	190
829	926	189
830	926	188
831	927	187
832	928	186
833	928	184
834	929	183
835	930	182
836	931	181
837	932	180
838	933	179
839	933	177
840	934	176
841	935	175
842	936	174
843	936	173
844	937	171
845	938	170
846	938	169
847	939	168
848	940	167
849	940	166
850	941	164
851	942	163
852	943	162
853	943	161
854	944	160
855	945	159
856	946	157
857	946	156
858	947	155
859	948	154
860	949	153
861	949	152
862	950	150
863	951	149
864	952	148
865	953	147
866	954	146
867	954	145
868	955	144
869	956	142
870	956	141
871	957	140
872	958	139
873	959	138
874	960	137
875	961	136
876	961	134
877	962	133
878	963	132
879	963	131
880	964	130
881	965	129
882	965	127
883	966	126
884	967	125
885	968	124
886	968	123
887	969	122
888	970	121
889	971	120
890	971	118
891	972	117
892	973	116
893	974	115
894	974	114
895	975	113
896	976	112
897	976	110
898	977	109
899	978	108
900	979	107
901	979	106
902	980	105
903	981	104
904	982	103
905	982	101
906	983	100
907	984	99
908	985	98
909	985	97
910	986	96
911	987	95
912	987	94
913	988	93
914	989	91
915	990	90
916	990	89
917	991	88
918	992	87
919	992	86
920	993	85
921	994	84
922	995	83
923	995	81
924	996	80
925	997	79
926	998	78
927	999	77
928	999	76
929	1000	75
930	1001	74
931	1002	73
932	1002	72
933	1003	70
934	1004	69
935	1004	68
936	1005	67
937	1006	66
938	1007	65
939	1007	64
940	1008	63
941	1009	62
942	1009	61
943	1010	59
944	1011	58
945	1012	57
946	1012	56
947	1013	55
948	1014	54
949	1015	53
950	1015	52
951	1016	51
952	1017	50
953	1018	49
954	1018	48
955	1019	46
956	1020	45
957	1020	44
958	1021	43
959	1022	42
960	1023	41
961	1023	40
962	1024	39
963	1025	38
964	1026	37
965	1026	36
966	1027	35
967	1028	33
968	1028	32
969	1029	31
970	1030	30
971	1031	29
972	1031	28
973	1032	27
974	1033	26
975	1034	25
976	1034	24
977	1035	23
978	1036	22
979	1036	21
980	1037	20
981	1038	19
982	1039	17
983	1040	16
984	1041	15
985	1042	14
986	1043	13
987	1044	12
988	1045	11
989	1046	10
990	1046	9
991	1047	8
992	1048	7
993	1048	6
994	1049	5
995	1050	4
996	1051	3
997	1051	2
998	1052	1
999	1053	0
